submission_id,age,comments,education,endTime,experiment_id,final_points,gender,goal,horizonSize,languages,number_of_clicks,participant_ID,startDate,startTime,timeSpent,trial_name,trial_number,value,x_coordinate,y_coordinate
929,20,,Graduated High School,1563896855297,79,1038,male,Accumulation,30,"Bulgarian, German",26,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,50,1,6
929,20,,Graduated High School,1563896855297,79,1054,male,Accumulation,30,"Bulgarian, German",27,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,16,2,1
929,20,,Graduated High School,1563896855297,79,1073,male,Accumulation,30,"Bulgarian, German",28,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,19,8,1
929,20,,Graduated High School,1563896855297,79,1100,male,Accumulation,30,"Bulgarian, German",29,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,27,9,9
929,20,,Graduated High School,1563896855297,79,1125,male,Accumulation,30,"Bulgarian, German",30,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,25,8,9
929,20,,Graduated High School,1563896855297,79,36,male,Maximization,30,"Bulgarian, German",1,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,36,5,5
929,20,,Graduated High School,1563896855297,79,68,male,Maximization,30,"Bulgarian, German",2,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,32,6,5
929,20,,Graduated High School,1563896855297,79,111,male,Maximization,30,"Bulgarian, German",3,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,43,5,6
929,20,,Graduated High School,1563896855297,79,154,male,Maximization,30,"Bulgarian, German",4,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,43,4,6
929,20,,Graduated High School,1563896855297,79,194,male,Maximization,30,"Bulgarian, German",5,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,40,4,5
929,20,,Graduated High School,1563896855297,79,243,male,Maximization,30,"Bulgarian, German",6,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,49,4,7
929,20,,Graduated High School,1563896855297,79,287,male,Maximization,30,"Bulgarian, German",7,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,44,4,8
929,20,,Graduated High School,1563896855297,79,344,male,Maximization,30,"Bulgarian, German",8,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,57,5,7
929,20,,Graduated High School,1563896855297,79,405,male,Maximization,30,"Bulgarian, German",9,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,61,6,7
929,20,,Graduated High School,1563896855297,79,458,male,Maximization,30,"Bulgarian, German",10,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,53,7,7
